"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"SW4,SW10,SW2,SW3,SW5,SW6,SW7,SW8,SW9,SW11,SW12,SW13,SW14,SW15,SW16,SW17,SW18,SW1,SW24,SW19,SW20,SW22,SW21,SW25,SW23";"SW_PUSH_6mm";25;"SPST";;;
2;"BT1";"PinHeader_1x02_P2.54mm_Vertical";1;"4.5v";;;
3;"LS1";"PinHeader_1x02_P2.54mm_Vertical";1;"Speaker";;;
4;"RV1";"Potentiometer_Bourns_PTV09A-1_Single_Vertical";1;"10k Log";;;
5;"Y1";"Resonator-3Pin_W7.0mm_H2.5mm";1;"16.00MHz";;;
6;"U2";"DIP-8_W7.62mm";1;"LM386";;;
7;"R4,R5,R7,R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"10K";;;
8;"J1";"AUDIO-JACK";1;"AudioJack2_SwitchT";;;
9;"Ref**";"logo";1;"Val**";;;
10;"C2,C4,C5";"C_Disc_D5.0mm_W2.5mm_P5.00mm";3;".1uF";;;
11;"C6,C1";"CP_Radial_D8.0mm_P3.50mm";2;"220uF";;;
12;"U1";"DIP-28_W7.62mm";1;"ATmega328P-PU";;;
13;"D1,D14,D24,D25,D7,D17,D12,D13,D18,D15,D4,D22,D11,D6,D19,D2,D20,D27,D9,D10,D5,D16,D23,D3,D21,D8";"D_DO-41_SOD81_P10.16mm_Horizontal";26;"D";;;
14;"J2";"PinHeader_1x06_P2.54mm_Horizontal";1;"Conn_01x06_Male";;;
15;"Ref**";"branding";1;"Val**";;;
16;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1m";;;
17;"R9,R13";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";2;"10k";;;
18;"R10,R1,R11,R3,R2,R12";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";6;"220";;;
19;"D26";"LED_D5.0mm-4_RGB_Staggered_Pins";1;"LED_CRGB";;;
20;"J4,J3";"DIN5-RA-PTH";2;"DIN5";;;
21;"SW26";"SW_Slide_1P2T_CK_OS102011MS2Q";1;"SW_SPST";;;
22;"RV2,RV3";"Potentiometer_Bourns_PTV09A-1_Single_Vertical";2;"10k";;;
23;"C3";"CP_Radial_D5.0mm_P2.00mm";1;"1uF";;;
24;"U3";"DIP-8_W7.62mm";1;"6N138";;;
